area,population,iso,country_or_district
443 square kilometres,"86,754",AG,Antigua and Barbuda
"14,000,000 square kilometres",0,AQ,Antarctica
102 square kilometres,"13,254",AI,Anguilla
"1,246,700 square kilometres","13,068,161",AO,Angola
468 square kilometres,"84,000",AD,Andorra
199 square kilometres,"57,881",AS,American Samoa
"2,381,740 square kilometres","34,586,184",DZ,Algeria
"28,748 square kilometres","2,986,952",AL,Albania
"1,580 square kilometres","26,711",AX,Aland Islands
"647,500 square kilometres","29,121,286",AF,Afghanistan
